artist_name,artist_popularity,artist_track_count
6000000000себя,0.06891710776772443,5
666,0.07871546156988517,40
69,0.040068085911467696,23
69 Chambers,0.07831489519059595,2
6Blocc,0.06381213682196707,7
6LACK,0.5938428376487358,25
6cyclemind,0.2053446823562222,3
6host,0.13788621089604114,7
6ix Toys,0.07178865392471295,4
6ix9ine,0.5809332107433285,26
6ixth Sense,0.2384553205913796,4
6o,0.06891710776772443,5
6obby,0.08204417591395766,1
6th Awakening,0.08204417591395766,1
6th Borough Project,0.055578312715906804,11
7 Angels 7 Plagues,0.06381213682196707,7
7 Birches,0.07831489519059595,2
7 Day Sun,0.06381213682196707,7
7 Days Of Funk,0.06153313193546824,8
7 Horns 7 Eyes,0.07831489519059595,2
7 Minutes Dead,0.07178865392471295,4
7 Minutes In Heaven,0.08204417591395766,1
7 Notas 7 Colores,0.07178865392471295,4
7 Seconds,0.036658036046661936,27
7 Skies,0.06891710776772443,5
7 Sons of Soul,0.052209930127063965,13
7 go up,0.08204417591395766,1
7!!,0.16922398609968686,2
7-10 Split,0.07831489519059595,2
700 Bliss,0.07490989974752656,3
7000 Dying Rats,0.04534020247876608,18
7000$,0.07831489519059595,2
702,0.09724741764975396,8
7038634357,0.057430923139770364,10
747,0.08204417591395766,1
77,0.07831489519059595,2
77 Jefferson,0.12966322353300527,1
7777 の天使,0.07831489519059595,2
78 Saab,0.0492265055483746,15
7Horse,0.08008610865273856,14
7L & Esoteric,0.08204417591395766,1
7and5,0.017762141177248565,77
7apes,0.07490989974752656,3
7eventh Time Down,0.06418840852057088,38
7for4,0.08204417591395766,1
7naRoda,0.06891710776772443,5
7ru7h,0.1008491738590041,7
7th Rail Crew,0.0492265055483746,15
7too,0.0662664497766581,6
7раса,0.08204417591395766,1
8 Degrees,0.06381213682196707,7
8 Foot Sativa,0.034458553883862215,30
8 Graves,0.1244114716128937,26
8 Kalacas,0.03745494987376328,26
8 Wonders,0.07178865392471295,4
800 Cherries,0.07831489519059595,2
800 Octane,0.08204417591395766,1
8000below,0.07831489519059595,2
808 State,0.06153313193546824,8
808INK,0.12966322353300527,1
80purppp,0.3349407912626603,15
84,0.0506743439468562,14
86 Mentality,0.06153313193546824,8
88 Fingers Louie,0.061031601544149355,41
88-Keys,0.19678865392471293,4
888,0.11345532059137962,4
88GLAM,0.3855432634603973,13
88rising,0.3907642564731037,10
89ine,0.07490989974752656,3
8Ball,0.06381213682196707,7
8Ball & MJG,0.1475914904435347,12
8Kays,0.16922398609968686,2
8mm,0.022972369255908145,55
8percent,0.1889171077677244,5
8th Sin,0.08204417591395766,1
8°6 Crew,0.07490989974752656,3
9 Lazy 9,0.11245065938555025,22
90 Day Men,0.06381213682196707,7
90 Process,0.08204417591395766,1
90's Kids,0.12966322353300527,1
90sFlav,0.24230354706091972,16
911,0.12966322353300527,1
916frosty,0.1683214027703856,14
92,0.07831489519059595,2
92914,0.22011260362281193,6
93FEETOFSMOKE,0.06381213682196707,7
95 North,0.06153313193546824,8
95 South,0.059411299799762445,9
97th Regimental String Band,0.08204417591395766,1
98 Mute,0.07490989974752656,3
98º,0.17238276138956693,19
99 Neighbors,0.12966322353300527,1
99 Souls,0.12966322353300527,1
995,0.07779793411980317,15
999999999,0.161866421486657,3
9MM,0.07831489519059595,2
9MUSES,0.08864113557602644,22
9ice,0.03835109428441001,51
9mm Parabellum Bullet,0.06358808549103456,70
9th Wonder,0.1551219872580463,4
:Of The Wand And The Moon:,0.027789156357953402,42
:Wumpscut:,0.011641403339142641,128
:zoviet*france:,0.08204417591395766,1
</body>,0.07178865392471295,4
? & The Mysterians,0.055578312715906804,11
@all,0.07831489519059595,2
A & Z,0.06891710776772443,5
A Banda Das Crechas,0.07831489519059595,2
A Banda Mais Bonita da Cidade,0.12966322353300527,1
A Blaze of Feather,0.12376944064514141,2
A Boy Called Joni,0.07831489519059595,2
A Boy Named Thor,0.07831489519059595,2
A Breach of Silence,0.07831489519059595,2
A Bullet for Pretty Boy,0.052209930127063965,13
A Certain Energy,0.08204417591395766,1
A Certain Ratio,0.07178865392471295,4
A Cerulean State,0.06891710776772443,5
A Challenge Of Honour,0.08204417591395766,1
A Change of Pace,0.035161789677410425,29
A Clockwork Opera,0.07490989974752656,3
A Cursive Memory,0.07178865392471295,4
A Dancing Beggar,0.07831489519059595,2
A Day At The Fair,0.0478591026164753,16
A Day Away,0.07831489519059595,2
A Day To Remember,0.46296843173793106,109
A Days Refrain,0.08204417591395766,1
A Different Breed Of Killer,0.07178865392471295,4
A Doom,0.055578312715906804,11
A Feast for Kings,0.06381213682196707,7
A Few Dudes,0.08204417591395766,1
A Fine Frenzy,0.046947029210226046,38
A Flock Of Seagulls,0.26891710776772443,5
A Forest Mighty Black,0.07831489519059595,2
A Forest Of Stars,0.04102208795697883,22
A Frames,0.08204417591395766,1
A Ghost Of Flare,0.08204417591395766,1
A Giant Dog,0.052209930127063965,13
A Global Threat,0.059411299799762445,9
A Great Big Pile of Leaves,0.032508069701756806,33
A Great Big World,0.18005421655913167,34
A Guy Called Gerald,0.07178865392471295,4
A Killer's Confession,0.07831489519059595,2
A La Carte,0.0662664497766581,6
A Lethal Smile,0.08204417591395766,1
A Life Once Lost,0.028244716298247718,41
A Little Nothing,0.08204417591395766,1
A Loss For Words,0.035894326962356476,28
A Lot Like Birds,0.03313322488832905,32
A Love Like Pi,0.08204417591395766,1
A MILLION DEAD BIRDS LAUGHING,0.023601749235522065,53
A Man Called Adam,0.07490989974752656,3
A Month of Somedays,0.07490989974752656,3
A Mose,0.0478591026164753,16
A Murder of Angels,0.07178865392471295,4
A Number Of Names,0.052209930127063965,13
A Pale Horse Named Death,0.032508069701756806,33
A Palo Seko,0.07831489519059595,2
